date,year,month,county,rainfall_mm
2018-09-01,2018,9,Baringo,13.775353874304356
2018-10-01,2018,10,Baringo,23.94521080179092
2018-11-01,2018,11,Baringo,14.159147686836047
2018-12-01,2018,12,Baringo,34.21806007531973
2019-01-01,2019,1,Baringo,7.184619176082122
2019-02-01,2019,2,Baringo,4.409290564365876
2019-03-01,2019,3,Baringo,17.688416705987393
2019-04-01,2019,4,Baringo,40.91878146636181
2019-05-01,2019,5,Baringo,29.830007763398
2019-06-01,2019,6,Baringo,72.69266552069249
2019-07-01,2019,7,Baringo,64.74566618112418
2019-08-01,2019,8,Baringo,70.0525204878587
2019-09-01,2019,9,Baringo,32.34783116120558
2019-10-01,2019,10,Baringo,63.26047229537597
2019-11-01,2019,11,Baringo,51.63456903604361
2019-12-01,2019,12,Baringo,58.61284501980513
2020-01-01,2020,1,Baringo,20.164930017177877
2020-02-01,2020,2,Baringo,13.084543867600269
2020-03-01,2020,3,Baringo,79.03617032368977
2020-04-01,2020,4,Baringo,101.12288453517816
2020-05-01,2020,5,Baringo,61.339813941564316
2020-06-01,2020,6,Baringo,78.55530119675856
2020-07-01,2020,7,Baringo,100.25510496481871
2020-08-01,2020,8,Baringo,93.2944944528433
2020-09-01,2020,9,Baringo,44.079228122417746
2020-10-01,2020,10,Baringo,45.28104768456557
2020-11-01,2020,11,Baringo,49.60262602048042
2020-12-01,2020,12,Baringo,7.767128503016936
2021-01-01,2021,1,Baringo,16.13406284161103
2021-02-01,2021,2,Baringo,12.53459991063827
2021-03-01,2021,3,Baringo,14.227799073243753
2021-04-01,2021,4,Baringo,35.31339492064256
2021-05-01,2021,5,Baringo,96.53618184114114
2021-06-01,2021,6,Baringo,29.04301501543094
2021-07-01,2021,7,Baringo,42.78240585816212
2021-08-01,2021,8,Baringo,43.6757640960889
2021-09-01,2021,9,Baringo,44.122658455677524
2021-10-01,2021,10,Baringo,32.956020684731314
2021-11-01,2021,11,Baringo,15.069393370701716
2021-12-01,2021,12,Baringo,13.389501623006968
2022-01-01,2022,1,Baringo,15.554097607196905
2022-02-01,2022,2,Baringo,12.743116013820355
2022-03-01,2022,3,Baringo,18.58445317439544
2022-04-01,2022,4,Baringo,46.197004773066595
2022-05-01,2022,5,Baringo,48.25077374776205
2022-06-01,2022,6,Baringo,26.969234522795066
2022-07-01,2022,7,Baringo,30.80198830335568
2022-08-01,2022,8,Baringo,72.14657115447216
2022-09-01,2022,9,Baringo,40.36946656642816
2022-10-01,2022,10,Baringo,20.243439140380957
2022-11-01,2022,11,Baringo,45.55889339477588
2022-12-01,2022,12,Baringo,20.157115376301302
2023-01-01,2023,1,Baringo,3.475158935938126
2023-02-01,2023,2,Baringo,1.820736001088069
2023-03-01,2023,3,Baringo,52.266391881306966
2023-04-01,2023,4,Baringo,67.46844236911872
2023-05-01,2023,5,Baringo,44.53465785491161
2023-06-01,2023,6,Baringo,37.14415290539081
2023-07-01,2023,7,Baringo,34.21084030836057
2023-08-01,2023,8,Baringo,31.354122335482867
2023-09-01,2023,9,Baringo,38.92448460016495
2023-10-01,2023,10,Baringo,42.3013278764792
2023-11-01,2023,11,Baringo,44.850844961557634
2023-12-01,2023,12,Baringo,8.375473599556164
2024-01-01,2024,1,Baringo,28.330910335442958
2024-02-01,2024,2,Baringo,19.133289024157403
2024-03-01,2024,3,Baringo,23.413050111134847
2024-04-01,2024,4,Baringo,104.4822207230788
2024-05-01,2024,5,Baringo,97.36928483033792
2024-06-01,2024,6,Baringo,22.54041243088551
2024-07-01,2024,7,Baringo,70.81063490647536
2024-08-01,2024,8,Baringo,66.44476267985809
2024-09-01,2024,9,Baringo,18.400250420203577
2024-10-01,2024,10,Baringo,29.764089421736887
2024-11-01,2024,11,Baringo,60.41063804870997
2024-12-01,2024,12,Baringo,6.533936446752303
2025-01-01,2025,1,Baringo,14.303541567386725
2025-02-01,2025,2,Baringo,2.6826893256260798
2025-03-01,2025,3,Baringo,60.483048717792215
2025-04-01,2025,4,Baringo,58.161181537921614
2025-05-01,2025,5,Baringo,66.99473698444855
2025-06-01,2025,6,Baringo,41.09363251710549
2025-07-01,2025,7,Baringo,65.47912980593168
2025-08-01,2025,8,Baringo,63.817881139119464
2025-09-01,2025,9,Baringo,48.74649598292815
2025-10-01,2025,10,Baringo,64.17562242410122
2025-11-01,2025,11,Baringo,18.31311212747525
2025-12-01,2025,12,Baringo,24.925851156772712
2026-01-01,2026,1,Baringo,3.674636614933992
2026-02-01,2026,2,Baringo,52.33375704838679
2026-03-01,2026,3,Baringo,90.8047346457457
2026-04-01,2026,4,Baringo,41.582374875973436
2026-05-01,2026,5,Baringo,63.4196381740081
2026-06-01,2026,6,Baringo,10.183879726361006
2026-07-01,2026,7,Baringo,31.099093535007576
2026-08-01,2026,8,Baringo,23.55710482475085
1981-01-01,1981,1,Bomet,15.830959706079392
1981-02-01,1981,2,Bomet,35.32954754148211
1981-03-01,1981,3,Bomet,109.32944869995117
1981-04-01,1981,4,Bomet,148.05942598978677
1981-05-01,1981,5,Bomet,91.21855327061245
1981-06-01,1981,6,Bomet,44.6020903360276
1981-07-01,1981,7,Bomet,68.23013069516136
